filename,foldername,labels
Tamil-440.wav,Tamil,2
Hindi-375.wav,Hindi,0
Kannada-446.wav,Kannada,1
Kannada-474.wav,Kannada,1
Kannada-294.wav,Kannada,1
Hindi-466.wav,Hindi,0
Tamil-173.wav,Tamil,2
Kannada-304.wav,Kannada,1
Hindi-333.wav,Hindi,0
Telugu-167.wav,Telugu,3
Hindi-427.wav,Hindi,0
Tamil-256.wav,Tamil,2
Tamil-362.wav,Tamil,2
Telugu-357.wav,Telugu,3
Telugu-491.wav,Telugu,3
Telugu-390.wav,Telugu,3
Kannada-137.wav,Kannada,1
Telugu-232.wav,Telugu,3
Kannada-256.wav,Kannada,1
Hindi-458.wav,Hindi,0
Kannada-411.wav,Kannada,1
Kannada-396.wav,Kannada,1
Telugu-220.wav,Telugu,3
Hindi-488.wav,Hindi,0
Tamil-487.wav,Tamil,2
Hindi-479.wav,Hindi,0
Kannada-472.wav,Kannada,1
Kannada-159.wav,Kannada,1
Tamil-19.wav,Tamil,2
Kannada-367.wav,Kannada,1
Telugu-363.wav,Telugu,3
Tamil-443.wav,Tamil,2
Hindi-198.wav,Hindi,0
Telugu-400.wav,Telugu,3
Kannada-167.wav,Kannada,1
Telugu-414.wav,Telugu,3
Tamil-354.wav,Tamil,2
Tamil-396.wav,Tamil,2
Kannada-464.wav,Kannada,1
Hindi-482.wav,Hindi,0
Tamil-313.wav,Tamil,2
Kannada-410.wav,Kannada,1
Kannada-362.wav,Kannada,1
Tamil-429.wav,Tamil,2
Kannada-438.wav,Kannada,1
Kannada-372.wav,Kannada,1
Hindi-301.wav,Hindi,0
Telugu-323.wav,Telugu,3
Kannada-203.wav,Kannada,1
Tamil-241.wav,Tamil,2
Telugu-246.wav,Telugu,3
Telugu-383.wav,Telugu,3
Telugu-13.wav,Telugu,3
Telugu-430.wav,Telugu,3
Kannada-172.wav,Kannada,1
Telugu-305.wav,Telugu,3
Tamil-502.wav,Tamil,2
Hindi-419.wav,Hindi,0
Telugu-224.wav,Telugu,3
Telugu-194.wav,Telugu,3
Kannada-420.wav,Kannada,1
Tamil-193.wav,Tamil,2
Hindi-399.wav,Hindi,0
Tamil-401.wav,Tamil,2
Tamil-266.wav,Tamil,2
Tamil-493.wav,Tamil,2
Tamil-300.wav,Tamil,2
Hindi-486.wav,Hindi,0
Tamil-189.wav,Tamil,2
Telugu-421.wav,Telugu,3
Kannada-286.wav,Kannada,1
Kannada-489.wav,Kannada,1
Telugu-297.wav,Telugu,3
Tamil-491.wav,Tamil,2
Hindi-243.wav,Hindi,0
Hindi-426.wav,Hindi,0
Kannada-425.wav,Kannada,1
Telugu-332.wav,Telugu,3
Kannada-263.wav,Kannada,1
Hindi-317.wav,Hindi,0
Telugu-302.wav,Telugu,3
Hindi-310.wav,Hindi,0
Telugu-449.wav,Telugu,3
Tamil-422.wav,Tamil,2
Hindi-401.wav,Hindi,0
Kannada-103.wav,Kannada,1
Hindi-257.wav,Hindi,0
Hindi-266.wav,Hindi,0
Tamil-453.wav,Tamil,2
Kannada-241.wav,Kannada,1
Telugu-142.wav,Telugu,3
Kannada-173.wav,Kannada,1
Kannada-219.wav,Kannada,1
Hindi-442.wav,Hindi,0
Telugu-492.wav,Telugu,3
Tamil-424.wav,Tamil,2
Kannada-235.wav,Kannada,1
Telugu-331.wav,Telugu,3
Kannada-399.wav,Kannada,1
Hindi-213.wav,Hindi,0
Telugu-311.wav,Telugu,3
Telugu-252.wav,Telugu,3
