filename,foldername,labels
Hindi-71.wav,Hindi,0
Hindi-75.wav,Hindi,0
Hindi-99.wav,Hindi,0
Hindi-84.wav,Hindi,0
Hindi-34.wav,Hindi,0
Hindi-65.wav,Hindi,0
Hindi-46.wav,Hindi,0
Hindi-77.wav,Hindi,0
Hindi-69.wav,Hindi,0
Hindi-101.wav,Hindi,0
Hindi-20.wav,Hindi,0
Hindi-51.wav,Hindi,0
Hindi-111.wav,Hindi,0
Hindi-44.wav,Hindi,0
Hindi-76.wav,Hindi,0
Hindi-87.wav,Hindi,0
Hindi-17.wav,Hindi,0
Hindi-43.wav,Hindi,0
Hindi-48.wav,Hindi,0
Hindi-23.wav,Hindi,0
Hindi-52.wav,Hindi,0
Hindi-24.wav,Hindi,0
Hindi-31.wav,Hindi,0
Hindi-12.wav,Hindi,0
Hindi-108.wav,Hindi,0
Hindi-114.wav,Hindi,0
Hindi-62.wav,Hindi,0
Hindi-38.wav,Hindi,0
Hindi-50.wav,Hindi,0
Hindi-89.wav,Hindi,0
Hindi-70.wav,Hindi,0
Hindi-97.wav,Hindi,0
Hindi-110.wav,Hindi,0
Hindi-98.wav,Hindi,0
Hindi-88.wav,Hindi,0
Hindi-112.wav,Hindi,0
Hindi-95.wav,Hindi,0
Hindi-103.wav,Hindi,0
Hindi-105.wav,Hindi,0
Hindi-104.wav,Hindi,0
Hindi-100.wav,Hindi,0
Hindi-73.wav,Hindi,0
Hindi-72.wav,Hindi,0
Hindi-109.wav,Hindi,0
Hindi-90.wav,Hindi,0
Hindi-68.wav,Hindi,0
Hindi-107.wav,Hindi,0
Hindi-78.wav,Hindi,0
Hindi-53.wav,Hindi,0
Hindi-106.wav,Hindi,0
Hindi-64.wav,Hindi,0
Hindi-79.wav,Hindi,0
Hindi-83.wav,Hindi,0
Hindi-67.wav,Hindi,0
Hindi-94.wav,Hindi,0
Hindi-54.wav,Hindi,0
Hindi-55.wav,Hindi,0
Hindi-93.wav,Hindi,0
Hindi-61.wav,Hindi,0
Hindi-86.wav,Hindi,0
Kannada-2.wav,Kannada,1
Kannada-96.wav,Kannada,1
Kannada-108.wav,Kannada,1
Kannada-98.wav,Kannada,1
Kannada-41.wav,Kannada,1
